Order ID,Product Name,Category,Price (INR),Quantity Sold,Order Date,Payment Method,Customer Rating,Region,Discount(%)
ORD00026,T-Shirt,Clothing,2053.11,4,7/23/2024,COD,3.4,West,25
ORD00027,Jeans,Clothing,38927.62,4,8/24/2024,Wallet,2.5,Central,5
ORD00028,Mixer Grinder,Home & Kitchen,28978.47,4,7/21/2024,UPI,2.3,West,5
ORD00029,Lipstick,Beauty,21293.42,5,4/16/2024,Wallet,2.2,North,20
ORD00030,Lipstick,Beauty,49097.01,4,8/5/2024,Credit Card,3.7,East,25
ORD00031,Perfume,Beauty,47651.19,1,4/14/2024,Net Banking,3.6,East,5
ORD00032,Hair Dryer,Beauty,15046.01,5,10/17/2024,COD,1.1,North,5
ORD00033,Laptop,Electronics,36980.1,3,10/1/2024,COD,3.2,North,15
ORD00034,Table Lamp,Home & Kitchen,38144.67,2,7/15/2024,Net Banking,3.1,West,25
ORD00035,Laptop,Electronics,49355.45,2,5/1/2024,COD,3.5,East,20
ORD00036,Shampoo,Beauty,12945.96,3,6/10/2024,Wallet,1.4,North,5
ORD00037,Perfume,Beauty,34927.79,4,6/27/2024,Credit Card,1.1,South,25
ORD00038,Table Lamp,Home & Kitchen,3677.4,3,7/31/2024,UPI,3.7,East,15
ORD00039,Comic Book,Books,37004.54,4,10/26/2024,Debit Card,4,South,5
ORD00040,Cookbook,Books,27961.78,5,2/23/2024,Net Banking,4,Central,15
ORD00041,Comic Book,Books,2655.8,2,2/12/2024,Net Banking,3.7,South,10
ORD00042,Headphones,Electronics,965.51,4,6/6/2024,COD,3.5,South,25
ORD00043,Bedsheet,Home & Kitchen,2980.08,3,12/14/2024,Net Banking,4.2,South,20
ORD00044,Mixer Grinder,Home & Kitchen,8598.58,1,10/9/2024,Debit Card,1.1,West,15
ORD00045,Shampoo,Beauty,31850.15,2,4/14/2024,Net Banking,2.8,South,10
ORD00046,Smartwatch,Electronics,33443.32,5,2/15/2024,UPI,2.4,South,15
ORD00047,Jacket,Clothing,29592.5,5,7/25/2024,Net Banking,4.7,East,25
ORD00048,Hair Dryer,Beauty,11187.38,4,6/22/2024,Wallet,2.3,East,20
ORD00049,Bedsheet,Home & Kitchen,23898.58,5,11/28/2024,Credit Card,3.3,East,5
ORD00050,Comic Book,Books,1391.49,4,8/11/2024,Credit Card,4.5,East,20
ORD00051,Jeans,Clothing,18607.69,5,9/10/2024,COD,2.4,North,10
ORD00052,Fiction Novel,Books,46224.88,3,10/30/2024,Credit Card,4.1,West,10
ORD00053,Tablet,Electronics,11864.13,5,11/11/2024,Debit Card,1.3,East,5
ORD00054,Comic Book,Books,7757.2,5,11/22/2024,Wallet,2.2,Central,15
ORD00055,Smartwatch,Electronics,29745,1,10/4/2024,UPI,3.6,South,20
ORD00056,Jeans,Clothing,39176.54,5,4/4/2024,Net Banking,4.1,East,5
ORD00057,Jeans,Clothing,18075.19,5,9/3/2024,Debit Card,1.7,West,25
ORD00058,Self-Help Book,Books,18830.59,4,5/16/2024,Net Banking,3.6,East,5
ORD00059,Headphones,Electronics,38476.48,4,8/30/2024,Credit Card,2,North,5
ORD00060,Laptop,Electronics,27120.36,2,6/13/2024,Credit Card,3.8,West,25
ORD00061,Cookbook,Books,31627,5,7/28/2024,Debit Card,3.1,North,25
ORD00062,Comic Book,Books,14505.79,3,7/10/2024,UPI,3.9,North,25
ORD00063,Smartwatch,Electronics,15229.67,3,7/21/2024,Credit Card,2.7,West,15
ORD00064,Table Lamp,Home & Kitchen,2158.12,3,1/2/2025,COD,3.4,West,5
ORD00065,Lipstick,Beauty,11106.19,2,12/22/2024,Wallet,1.1,South,15
ORD00066,Educational Book,Books,21690.55,2,11/28/2024,Credit Card,1.9,North,5
ORD00067,Hair Dryer,Beauty,4225.69,4,5/6/2024,Credit Card,2.5,West,20
ORD00068,Smartwatch,Electronics,23621.02,1,2/26/2024,Wallet,4.7,South,5
ORD00069,Educational Book,Books,38937.92,3,4/8/2024,Credit Card,3.4,Central,20
ORD00070,Cookware Set,Home & Kitchen,2707.97,1,4/28/2024,Net Banking,1.2,North,5
ORD00071,Face Cream,Beauty,23715.42,4,3/24/2024,COD,2,South,15
ORD00072,Tablet,Electronics,9083.5,2,7/5/2024,UPI,1.8,Central,20
ORD00073,Lipstick,Beauty,26379.35,4,9/7/2024,UPI,3,Central,5
ORD00074,Jacket,Clothing,34023.96,3,2/13/2024,Credit Card,4.6,West,20
ORD00075,Sneakers,Clothing,1542.1,4,8/25/2024,Credit Card,1,South,20
ORD00076,Fiction Novel,Books,42981.08,3,3/25/2024,COD,3.8,East,5
ORD00077,Sofa Cover,Home & Kitchen,46338.29,5,3/22/2024,COD,3.4,South,25
ORD00078,Headphones,Electronics,34161.44,1,6/30/2024,Wallet,2.4,South,20
ORD00079,Lipstick,Beauty,21317.31,5,7/16/2024,Credit Card,4,North,20
ORD00080,Face Cream,Beauty,46011.84,4,5/1/2024,COD,3.3,Central,10
ORD00081,Perfume,Beauty,2097.99,1,2/9/2025,Debit Card,3.2,South,10
ORD00082,Smartphone,Electronics,17104.91,3,12/10/2024,Credit Card,2.7,North,15
ORD00083,Sofa Cover,Home & Kitchen,29326.6,3,11/7/2024,Credit Card,4.9,Central,5
ORD00084,Headphones,Electronics,28892.73,4,11/11/2024,COD,1.3,South,15
ORD00085,Tablet,Electronics,35033.12,4,12/3/2024,UPI,4.7,East,25
ORD00086,Jeans,Clothing,40069.3,3,10/27/2024,Debit Card,2.4,South,5
ORD00087,Comic Book,Books,20613.14,4,5/30/2024,UPI,3.4,Central,10
ORD00088,Cookware Set,Home & Kitchen,3432,5,4/12/2024,Credit Card,3.4,East,15
ORD00089,Shampoo,Beauty,25752.65,3,6/28/2024,Net Banking,2.5,North,15
ORD00090,Smartwatch,Electronics,30238.47,2,9/24/2024,Net Banking,4,West,10
ORD00091,Bedsheet,Home & Kitchen,34293.38,4,4/1/2024,Net Banking,4.4,South,5
ORD00092,Perfume,Beauty,19498.32,2,11/23/2024,Credit Card,3.6,West,25
ORD00093,T-Shirt,Clothing,39355.59,1,10/22/2024,Wallet,2.9,North,15
ORD00094,Cookbook,Books,26575.86,2,5/23/2024,Wallet,2,West,5
ORD00095,Headphones,Electronics,12506.31,3,1/12/2025,UPI,1.4,West,5
ORD00096,T-Shirt,Clothing,19180.77,3,1/28/2025,Wallet,3.9,North,15
ORD00097,Bedsheet,Home & Kitchen,8877.51,5,5/31/2024,UPI,2.5,Central,5
ORD00098,Sneakers,Clothing,32348.92,2,2/2/2025,Credit Card,3.1,West,15
ORD00099,Smartwatch,Electronics,19375.76,2,12/6/2024,Credit Card,2.1,South,5
ORD00100,Educational Book,Books,48157.93,1,9/5/2024,COD,2.4,North,15
ORD00101,Laptop,Electronics,4360.05,4,1/18/2025,Wallet,3.3,Central,20
ORD00102,Jacket,Clothing,38093.14,1,10/22/2024,Credit Card,3,North,10
ORD00103,Educational Book,Books,32788.2,5,7/7/2024,Credit Card,4,West,15
ORD00104,Comic Book,Books,42715.55,1,7/14/2024,Credit Card,4.4,North,20
ORD00105,Perfume,Beauty,28758.42,5,9/22/2024,Net Banking,3.7,South,15
ORD00106,Educational Book,Books,22555.21,2,5/10/2024,UPI,4.3,Central,25
ORD00107,Dress,Clothing,33613.18,1,8/24/2024,Wallet,3.5,North,25
ORD00108,T-Shirt,Clothing,44639,5,5/4/2024,Credit Card,1.1,Central,5
ORD00109,Jeans,Clothing,11785.4,5,6/25/2024,Wallet,1.6,East,15
ORD00110,Self-Help Book,Books,30826.72,1,8/4/2024,UPI,3.9,East,25
ORD00111,Jacket,Clothing,35811.1,4,9/11/2024,Net Banking,1.9,West,25
ORD00112,Shampoo,Beauty,45387.99,3,12/23/2024,COD,4.8,West,25
ORD00113,Sofa Cover,Home & Kitchen,39263.94,5,8/5/2024,Wallet,3.8,Central,25
ORD00114,Educational Book,Books,19787.61,1,10/7/2024,Debit Card,3.9,Central,10
ORD00115,Jacket,Clothing,26219.99,4,3/14/2024,Debit Card,2.1,East,15
ORD00116,Lipstick,Beauty,14286.02,4,5/25/2024,UPI,3.7,Central,20
ORD00117,T-Shirt,Clothing,13019.07,3,2/2/2025,Credit Card,2.8,East,25
ORD00118,Face Cream,Beauty,43488.42,3,7/18/2024,Net Banking,3,Central,5
ORD00119,Cookbook,Books,30903.49,4,9/10/2024,Net Banking,1.7,South,20
ORD00120,Table Lamp,Home & Kitchen,37405.46,4,1/15/2025,Wallet,1.3,North,10
ORD00121,Tablet,Electronics,30593.67,4,5/18/2024,COD,1.5,South,10
ORD00122,Headphones,Electronics,28688.25,3,5/27/2024,UPI,2.4,East,25
ORD00123,Hair Dryer,Beauty,12158.96,3,3/21/2024,Net Banking,1.1,East,15
ORD00124,Headphones,Electronics,24500.05,3,4/21/2024,Credit Card,4.4,East,5
ORD00125,Table Lamp,Home & Kitchen,44412.88,3,9/13/2024,COD,1.4,North,5
ORD00126,Smartphone,Electronics,26615.97,3,8/26/2024,Net Banking,3.6,North,25
ORD00127,Jacket,Clothing,3979.4,1,10/2/2024,Debit Card,4.6,East,5
ORD00128,Perfume,Beauty,49687.49,2,5/2/2024,UPI,2.5,Central,25
ORD00129,Laptop,Electronics,11289.42,3,8/10/2024,UPI,2.3,South,25
ORD00130,Dress,Clothing,27309.73,3,6/17/2024,Net Banking,4,Central,5
ORD00131,Laptop,Electronics,30374.4,5,1/11/2025,Net Banking,1.8,West,20
ORD00132,Shampoo,Beauty,15486.41,4,4/20/2024,COD,5,South,15
ORD00133,Smartwatch,Electronics,33698.34,1,8/10/2024,Debit Card,4.2,West,25
ORD00134,Dress,Clothing,42987.64,5,3/30/2024,Wallet,3.7,Central,10
ORD00135,Smartwatch,Electronics,1104.25,5,11/28/2024,UPI,3.8,South,5
ORD00136,Jacket,Clothing,14043.16,4,6/1/2024,Wallet,3.1,East,20
ORD00137,Cookbook,Books,24032.88,1,10/28/2024,Wallet,3.8,South,25
ORD00138,Face Cream,Beauty,32283.58,3,1/2/2025,COD,4.4,East,5
ORD00139,Lipstick,Beauty,3848.54,1,2/3/2025,Net Banking,4.6,North,20
ORD00140,Cookware Set,Home & Kitchen,48175.48,1,7/10/2024,COD,1.5,South,10
ORD00141,Tablet,Electronics,2273.01,2,1/1/2025,UPI,4.3,West,5
ORD00142,Jacket,Clothing,48346.41,3,1/27/2025,Debit Card,1.4,West,5
ORD00143,Table Lamp,Home & Kitchen,8383.86,2,9/19/2024,Wallet,3.1,Central,10
ORD00144,Shampoo,Beauty,15344.02,1,5/16/2024,UPI,4,West,20
ORD00145,Smartphone,Electronics,49142.57,4,3/4/2024,UPI,4.9,North,20
ORD00146,Self-Help Book,Books,45182.27,5,3/30/2024,Debit Card,3.1,North,15
ORD00147,Jacket,Clothing,18309.06,2,5/11/2024,Net Banking,1.9,Central,10
ORD00148,Smartwatch,Electronics,33021.1,4,8/21/2024,Debit Card,4.4,South,5
ORD00149,Jacket,Clothing,42814.17,5,9/27/2024,Debit Card,4.2,Central,5
ORD00150,Perfume,Beauty,5293.87,2,12/31/2024,Debit Card,2.7,North,10
ORD00151,Fiction Novel,Books,16596.58,5,2/2/2025,UPI,2.1,West,20
ORD00152,Sneakers,Clothing,48940.95,1,2/20/2024,Net Banking,1,Central,25
ORD00153,Jeans,Clothing,10059.45,5,3/23/2024,COD,4.3,Central,20
ORD00154,Perfume,Beauty,4820.8,1,12/10/2024,Wallet,4.3,South,10
ORD00155,Cookbook,Books,12087.35,4,11/21/2024,UPI,2.6,East,15
ORD00156,Face Cream,Beauty,43522.08,5,9/11/2024,COD,4.8,Central,15
ORD00157,Smartwatch,Electronics,42409.26,1,8/25/2024,Debit Card,2,Central,25
ORD00158,Fiction Novel,Books,29882.47,5,6/22/2024,Wallet,4.7,East,5
ORD00159,Smartwatch,Electronics,40233.28,5,1/5/2025,Wallet,1.9,North,5
ORD00160,Sofa Cover,Home & Kitchen,15357.36,4,8/6/2024,Debit Card,1.6,North,25
ORD00161,Self-Help Book,Books,10565.57,4,7/4/2024,Net Banking,1.5,Central,10
ORD00162,Fiction Novel,Books,42533.26,4,11/28/2024,Debit Card,4.6,South,10
ORD00163,Mixer Grinder,Home & Kitchen,18426.9,4,10/18/2024,Debit Card,4.7,East,5
ORD00164,Perfume,Beauty,23369.23,1,11/23/2024,Credit Card,1.5,East,10
ORD00165,Perfume,Beauty,2735.32,5,12/20/2024,Wallet,2.6,Central,25
ORD00166,Laptop,Electronics,48944.01,3,7/4/2024,COD,4.2,East,20
ORD00167,Hair Dryer,Beauty,32590.46,2,4/11/2024,Net Banking,2.4,West,15
ORD00168,Hair Dryer,Beauty,35286.97,2,10/9/2024,Net Banking,3.3,West,25
ORD00169,Fiction Novel,Books,42881.03,3,11/29/2024,Net Banking,4.4,South,5
ORD00170,Shampoo,Beauty,28246.25,2,6/3/2024,Net Banking,2.3,North,25
ORD00171,Shampoo,Beauty,24619.84,2,12/6/2024,Debit Card,4.1,South,5
ORD00172,Dress,Clothing,12083.96,3,11/23/2024,Wallet,3,Central,25
ORD00173,Self-Help Book,Books,12214.72,5,1/14/2025,UPI,2.1,West,25
ORD00174,Fiction Novel,Books,19386.27,1,7/16/2024,COD,4.1,West,20
ORD00175,Educational Book,Books,34879.4,3,4/12/2024,UPI,2.5,Central,10
ORD00176,Laptop,Electronics,32016.11,5,9/27/2024,Debit Card,4.3,East,5
ORD00177,T-Shirt,Clothing,32264.17,1,7/22/2024,Net Banking,4.1,South,10
ORD00178,Shampoo,Beauty,30171.74,4,7/29/2024,Net Banking,3.8,North,5
ORD00179,Dress,Clothing,22712.18,5,1/24/2025,COD,3.9,South,5
ORD00180,Comic Book,Books,27204.69,1,2/9/2025,Debit Card,2.8,South,10
ORD00181,Educational Book,Books,17353.47,1,12/4/2024,Credit Card,2.6,Central,20
ORD00182,Sofa Cover,Home & Kitchen,44882.2,1,5/11/2024,COD,1.3,East,25
ORD00183,Sofa Cover,Home & Kitchen,47002.72,3,3/5/2024,Debit Card,4.1,North,20
ORD00184,Lipstick,Beauty,33659.67,4,7/5/2024,Wallet,3.3,North,20
ORD00185,Sofa Cover,Home & Kitchen,13011.44,2,6/25/2024,Wallet,4.9,Central,5
ORD00186,Smartphone,Electronics,21990.25,3,1/12/2025,Wallet,4.2,West,10
ORD00187,Perfume,Beauty,1927.38,3,8/31/2024,Debit Card,2.9,North,25
ORD00188,Laptop,Electronics,21741.53,3,12/2/2024,COD,3.5,North,15
ORD00189,Sneakers,Clothing,23638.72,1,9/24/2024,Credit Card,1.5,West,5
ORD00190,Hair Dryer,Beauty,39372.11,1,4/13/2024,Wallet,4.1,North,15
ORD00191,Fiction Novel,Books,49088.13,4,3/6/2024,Wallet,2.3,North,15
ORD00192,Cookware Set,Home & Kitchen,4524.63,3,12/19/2024,UPI,2.4,West,10
ORD00193,Sneakers,Clothing,1507.01,3,8/2/2024,Net Banking,2.5,South,15
ORD00194,Tablet,Electronics,39699.85,3,5/14/2024,Wallet,3.9,East,10
ORD00195,Face Cream,Beauty,37494.13,5,10/1/2024,COD,1.8,South,5
ORD00196,Smartphone,Electronics,5850.81,5,11/28/2024,COD,1.3,South,20
ORD00197,Self-Help Book,Books,16448.74,4,9/4/2024,Net Banking,4.6,North,25
ORD00198,Smartwatch,Electronics,11103.44,1,5/9/2024,Wallet,1.1,South,20
ORD00199,Self-Help Book,Books,34255.39,2,2/18/2024,UPI,2.9,East,10
ORD00200,Smartwatch,Electronics,18304.18,2,9/30/2024,Debit Card,1.6,South,20
ORD00201,Table Lamp,Home & Kitchen,12771.91,2,7/11/2024,Wallet,3.2,West,20
ORD00202,Comic Book,Books,2275.09,2,6/27/2024,Debit Card,1.5,Central,20
ORD00203,Sneakers,Clothing,16468.59,4,10/24/2024,Net Banking,4.5,South,15
ORD00204,Cookware Set,Home & Kitchen,4934.99,3,10/16/2024,Credit Card,4.6,North,25
ORD00205,Table Lamp,Home & Kitchen,5258.29,5,8/23/2024,Wallet,2.5,East,10
ORD00206,Hair Dryer,Beauty,32580,5,3/27/2024,COD,2.7,South,5
ORD00207,Sofa Cover,Home & Kitchen,40298.9,1,6/17/2024,Debit Card,1.2,East,15
ORD00208,Tablet,Electronics,11236.19,3,11/2/2024,COD,2.6,Central,10
ORD00209,Self-Help Book,Books,32537.46,5,10/28/2024,UPI,3.4,South,15
ORD00210,Jeans,Clothing,6953.88,1,5/14/2024,UPI,2.9,West,25
ORD00211,Bedsheet,Home & Kitchen,32824.05,3,9/2/2024,Credit Card,3.6,West,20
ORD00212,Sneakers,Clothing,34459.99,3,10/5/2024,Debit Card,1.4,East,10
ORD00213,Educational Book,Books,13608.58,3,4/5/2024,UPI,4.6,Central,20
ORD00214,Mixer Grinder,Home & Kitchen,32630.83,2,12/22/2024,UPI,4.7,East,5
ORD00215,Laptop,Electronics,24818.77,4,11/14/2024,Debit Card,2.3,East,10
ORD00216,Cookbook,Books,36645.35,3,12/26/2024,Debit Card,2.5,East,5
ORD00217,Jeans,Clothing,25668.96,3,6/8/2024,Debit Card,4.8,Central,10
ORD00218,Dress,Clothing,44241.68,4,9/18/2024,COD,1.4,West,5
ORD00219,Headphones,Electronics,39749.19,1,7/19/2024,COD,3.5,North,25
ORD00220,Tablet,Electronics,37578.46,2,6/8/2024,Net Banking,4.4,Central,20
ORD00221,Smartphone,Electronics,37203.65,4,5/14/2024,Wallet,3.5,North,5
ORD00222,Self-Help Book,Books,22851.63,1,5/14/2024,Wallet,1,Central,10
ORD00223,Hair Dryer,Beauty,27627.84,4,3/30/2024,UPI,1.8,East,20
ORD00224,Self-Help Book,Books,31333.95,3,8/21/2024,Debit Card,1.7,Central,25
ORD00225,Bedsheet,Home & Kitchen,30911.44,5,4/6/2024,Debit Card,3,West,15
ORD00226,Laptop,Electronics,11518.23,1,1/30/2025,Debit Card,4.4,West,20
ORD00227,Jeans,Clothing,43304.55,5,12/28/2024,UPI,2.6,Central,5
ORD00228,Self-Help Book,Books,3710.07,3,2/20/2024,Credit Card,4.2,North,5
ORD00229,Perfume,Beauty,34621.21,2,1/6/2025,Wallet,1.8,East,10
ORD00230,Headphones,Electronics,41742.29,5,7/15/2024,COD,2.6,West,20
ORD00231,Bedsheet,Home & Kitchen,46858.63,1,11/2/2024,Debit Card,3.5,West,25
ORD00232,Smartwatch,Electronics,5413.09,1,5/20/2024,UPI,3.4,North,5
ORD00233,Laptop,Electronics,5880.45,1,9/9/2024,Net Banking,2,Central,25
ORD00234,Comic Book,Books,35665.26,3,3/30/2024,Wallet,1.2,East,5
ORD00235,Headphones,Electronics,42981.89,5,1/2/2025,Credit Card,1.8,North,25
ORD00236,Comic Book,Books,25629.88,3,9/3/2024,Debit Card,2.9,East,20
ORD00237,Perfume,Beauty,22475.94,4,2/13/2024,Debit Card,3.5,South,15
ORD00238,Sofa Cover,Home & Kitchen,33250.7,5,10/19/2024,Wallet,4.3,East,25
ORD00239,Cookbook,Books,45045.03,5,1/2/2025,Net Banking,3.8,West,5
ORD00240,Bedsheet,Home & Kitchen,3955.86,5,6/18/2024,Net Banking,4.7,Central,20
ORD00241,Perfume,Beauty,28169.11,5,5/4/2024,UPI,2.7,East,5
ORD00242,Face Cream,Beauty,42785.51,4,11/13/2024,COD,1.7,North,20
ORD00243,Smartphone,Electronics,25614.35,2,8/12/2024,Wallet,3.5,North,5
ORD00244,Mixer Grinder,Home & Kitchen,7771.58,5,8/17/2024,Debit Card,3.6,Central,25
ORD00245,Cookbook,Books,31059.47,3,5/15/2024,Wallet,4.8,North,25
ORD00246,Educational Book,Books,14506.11,5,6/16/2024,Debit Card,3.5,West,15
ORD00247,Smartwatch,Electronics,16272.38,3,6/15/2024,Debit Card,1.4,West,10
ORD00248,T-Shirt,Clothing,29222.92,3,10/16/2024,Debit Card,2.7,North,5
ORD00249,Educational Book,Books,1483.5,5,11/4/2024,Debit Card,4.3,North,5
ORD00250,Self-Help Book,Books,35629.55,2,2/1/2025,Wallet,2,Central,10
ORD00251,Jacket,Clothing,1987.98,4,2/23/2024,UPI,3.3,Central,25
ORD00252,Educational Book,Books,37590.44,4,3/28/2024,Wallet,1.8,South,10
ORD00253,Mixer Grinder,Home & Kitchen,31759.49,4,12/11/2024,UPI,2,West,15
ORD00254,Shampoo,Beauty,18787.05,4,1/27/2025,Credit Card,1.1,East,20
ORD00255,Educational Book,Books,17066.16,1,9/15/2024,Wallet,2.8,Central,5
ORD00256,Jacket,Clothing,15068.72,4,3/23/2024,Debit Card,1.4,East,15
ORD00257,Smartphone,Electronics,44334.11,3,2/24/2024,Wallet,2.6,North,10
ORD00258,Smartphone,Electronics,11183.75,1,11/15/2024,Credit Card,4.9,East,20
ORD00259,Cookware Set,Home & Kitchen,2923.95,5,8/16/2024,Net Banking,1.1,North,20
ORD00260,Shampoo,Beauty,7339.66,2,11/29/2024,Net Banking,1.1,South,25
ORD00261,Table Lamp,Home & Kitchen,41405.37,2,10/6/2024,Wallet,4.6,Central,5
ORD00262,Mixer Grinder,Home & Kitchen,36114.38,1,9/1/2024,Net Banking,4.6,North,5
ORD00263,Smartphone,Electronics,19915.59,5,9/6/2024,COD,1.2,East,15
ORD00264,Smartphone,Electronics,18366.97,4,5/22/2024,COD,1.2,Central,20
ORD00265,Smartphone,Electronics,8563.14,2,3/3/2024,COD,3.1,South,15
ORD00266,Hair Dryer,Beauty,40461.79,1,5/19/2024,Credit Card,4.9,East,25
ORD00267,Jacket,Clothing,6943.4,5,7/16/2024,Debit Card,1.5,South,10
ORD00268,Shampoo,Beauty,14517.08,1,5/19/2024,UPI,3,South,25
ORD00269,Tablet,Electronics,4248.25,5,7/19/2024,Wallet,4.1,North,10
ORD00270,Mixer Grinder,Home & Kitchen,43118.73,5,12/12/2024,Debit Card,3.1,East,20
ORD00271,Dress,Clothing,10086.76,2,3/26/2024,Wallet,1.9,North,15
ORD00272,Face Cream,Beauty,35373.5,4,8/9/2024,Credit Card,2.9,East,25
ORD00273,Table Lamp,Home & Kitchen,43002.68,3,4/5/2024,UPI,4.2,Central,25
ORD00274,Laptop,Electronics,46388.81,1,2/21/2024,COD,4.4,West,10
ORD00275,Cookbook,Books,47384.51,3,5/29/2024,Net Banking,1.5,South,20
ORD00276,Jacket,Clothing,15826.47,2,7/13/2024,Net Banking,4.4,West,5
ORD00277,Shampoo,Beauty,33927.57,5,2/2/2025,Wallet,2.6,South,15
ORD00278,Tablet,Electronics,27400.84,1,2/7/2025,Net Banking,3.6,North,10
ORD00279,Tablet,Electronics,37684.28,4,4/2/2024,COD,3.2,West,15
ORD00280,Sneakers,Clothing,22968.18,4,1/23/2025,Net Banking,4.1,South,10
ORD00281,Sofa Cover,Home & Kitchen,43444.93,1,1/10/2025,Wallet,4,North,5
ORD00282,Headphones,Electronics,36083.22,3,7/25/2024,Credit Card,2.9,Central,10
ORD00283,Cookware Set,Home & Kitchen,43043.82,5,11/9/2024,Wallet,4.1,North,20
ORD00284,Smartwatch,Electronics,1517.63,4,11/10/2024,COD,2,North,20
ORD00285,Fiction Novel,Books,1626.1,5,11/15/2024,Credit Card,2.8,Central,25
ORD00286,T-Shirt,Clothing,40384.62,1,4/27/2024,UPI,4.2,North,5
ORD00287,T-Shirt,Clothing,37295.08,1,2/6/2025,UPI,4,North,5
ORD00288,Sneakers,Clothing,13915.5,3,7/2/2024,Net Banking,3.9,South,25
ORD00289,Smartphone,Electronics,23625.05,2,7/7/2024,Debit Card,2,South,10
ORD00290,Mixer Grinder,Home & Kitchen,464.18,3,8/2/2024,Debit Card,4.1,Central,5
ORD00291,T-Shirt,Clothing,26667.15,2,11/5/2024,Credit Card,1.9,North,15
ORD00292,Fiction Novel,Books,29093.02,2,11/1/2024,Debit Card,3.7,South,15
ORD00293,Jacket,Clothing,44770.65,3,12/12/2024,Wallet,3.5,West,20
ORD00294,Bedsheet,Home & Kitchen,32749.9,1,8/2/2024,Net Banking,3.8,East,10
ORD00295,Educational Book,Books,4990.66,3,5/30/2024,Wallet,4.6,East,15
ORD00296,T-Shirt,Clothing,11044.89,3,11/25/2024,Wallet,1.5,Central,20
ORD00297,Fiction Novel,Books,46032.16,5,12/8/2024,Debit Card,4.4,South,20
ORD00298,Educational Book,Books,43965.67,3,8/25/2024,Debit Card,1.1,West,25
ORD00299,T-Shirt,Clothing,6037.98,2,5/25/2024,COD,3.6,West,15
ORD00300,Comic Book,Books,22747.82,3,9/20/2024,Debit Card,4.5,West,20
ORD00301,Headphones,Electronics,26615.92,2,6/21/2024,COD,2.3,Central,25
ORD00302,Face Cream,Beauty,48234.31,2,7/8/2024,Debit Card,1.8,West,15
ORD00303,Table Lamp,Home & Kitchen,24172.56,1,12/20/2024,UPI,3.1,West,5
ORD00304,Fiction Novel,Books,16385.37,3,2/24/2024,Wallet,1.6,East,5
ORD00305,T-Shirt,Clothing,29527.22,3,3/30/2024,COD,1.2,East,25
ORD00306,Table Lamp,Home & Kitchen,42516.65,3,4/28/2024,Net Banking,1.8,West,10
ORD00307,Comic Book,Books,27175.37,5,8/2/2024,COD,3.9,Central,15
ORD00308,Dress,Clothing,25379.68,4,10/6/2024,Wallet,3.5,Central,20
ORD00309,Educational Book,Books,29568.18,3,1/12/2025,Credit Card,1.3,Central,25
ORD00310,Fiction Novel,Books,23562.27,2,12/23/2024,Credit Card,4.9,North,15
ORD00311,Dress,Clothing,19134.26,2,2/12/2024,COD,4.6,South,5
ORD00312,Fiction Novel,Books,10176.11,5,8/17/2024,Net Banking,2.1,North,5
